amfi_code,scheme_name,cagr_3yr_pct,sharpe_ratio,alpha_annual_pct,beta,max_drawdown_pct,expense_ratio_pct,rank_3yr,rank_sharpe,rank_alpha,rank_er,rank_maxdd,raw_score,composite_score,final_rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,34.0,1.4483,26.9838,0.0237,-11.27,1.46,0.975,1.0,0.85,0.45,0.825,0.8625,100.0,1
120505,ICICI Pru Midcap Fund - Regular - Growth,31.78,1.1801,29.2636,0.0005,-18.19,1.36,0.9,0.9,0.95,0.65,0.4,0.8225000000000001,94.44,2
120843,Kotak Flexicap Fund - Regular - Growth,29.58,1.3067,27.3305,-0.0228,-12.97,1.45,0.85,0.975,0.9,0.475,0.7,0.8200000000000001,94.09,3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,32.44,1.0937,27.1954,0.0051,-16.22,1.38,0.925,0.85,0.875,0.6,0.525,0.8075,92.35,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,32.49,1.0265,21.1948,0.0162,-12.59,0.8,0.95,0.775,0.7,0.725,0.725,0.8,91.31,5
119094,Axis Midcap Fund - Regular - Growth,35.11,0.9982,26.0767,-0.0663,-20.96,1.38,1.0,0.75,0.8,0.6,0.325,0.7699999999999999,87.14,6
119551,SBI Bluechip Fund - Regular Plan - Growth,30.46,1.2083,23.201,-0.0318,-15.01,1.54,0.875,0.925,0.775,0.2625,0.6,0.7481250000000002,84.1,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,29.18,1.2349,28.2704,0.0181,-16.4,1.6,0.825,0.95,0.925,0.1125,0.5,0.7368750000000001,82.54,8
101206,ABSL Frontline Equity Fund - Regular - Growth,28.97,1.0272,21.3998,0.0211,-11.29,1.6,0.8,0.8,0.725,0.1125,0.8,0.681875,74.89,9
119598,SBI Small Cap Fund - Regular Plan - Growth,26.67,0.9453,30.337,-0.0232,-28.71,1.43,0.725,0.675,1.0,0.5,0.125,0.6737499999999998,73.76,10
149323,DSP Midcap Fund - Regular - Growth,26.87,1.1321,26.5986,-0.0025,-17.25,1.61,0.75,0.875,0.825,0.075,0.475,0.6675,72.89,11
149324,DSP Small Cap Fund - Regular - Growth,27.0,0.9498,30.0579,0.0115,-31.17,1.52,0.775,0.7,0.975,0.3625,0.1,0.666875,72.81,12
118632,Nippon India Large Cap Fund - Regular - Growth,22.65,1.0817,21.8294,-0.0084,-17.41,1.51,0.675,0.825,0.75,0.4125,0.45,0.6656250000000001,72.63,13
119552,SBI Bluechip Fund - Direct Plan - Growth,16.27,0.9533,19.8686,-0.0262,-11.8,0.66,0.45,0.725,0.65,0.925,0.75,0.6600000000000001,71.85,14
125497,HDFC Top 100 Fund - Direct Plan - Growth,18.43,0.7758,17.7298,0.0488,-15.2,0.92,0.55,0.575,0.625,0.675,0.575,0.5924999999999999,62.47,15
118635,Nippon India ETF Nifty 50 BeES,20.01,0.6649,15.1364,-0.0014,-11.65,0.89,0.6,0.55,0.45,0.7,0.775,0.5900000000000001,62.12,16
118633,Nippon India Large Cap Fund - Direct - Growth,21.09,0.6452,15.6438,-0.0366,-18.63,0.72,0.65,0.5,0.475,0.8875,0.375,0.585625,61.51,17
102885,UTI Nifty 50 Index Fund - Regular - Growth,19.67,0.8171,17.0488,-0.0195,-10.86,1.57,0.575,0.625,0.55,0.175,0.85,0.5499999999999999,56.56,18
120503,ICICI Pru Bluechip Fund - Regular - Growth,13.98,0.798,17.7033,-0.0403,-13.9,1.42,0.4,0.6,0.6,0.525,0.675,0.53625,54.65,19
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.75,0.9263,20.873,-0.0264,-15.27,1.52,0.425,0.65,0.675,0.3625,0.55,0.534375,54.39,20
120506,ICICI Pru Value Discovery Fund - Regular - Growth,18.42,0.6489,16.2539,0.0419,-19.83,1.41,0.525,0.525,0.525,0.55,0.35,0.5112500000000001,51.17,21
120507,ICICI Pru Liquid Fund - Regular - Growth,7.39,0.4957,6.7462,-0.0004,-0.1,0.74,0.3,0.45,0.25,0.85,1.0,0.48,46.83,22
119093,Axis Bluechip Fund - Direct - Growth,20.82,0.1296,8.2328,0.0259,-21.75,0.75,0.625,0.3,0.325,0.825,0.25,0.47625,46.31,23
102887,UTI Flexi Cap Fund - Regular - Growth,25.56,0.6195,16.2113,0.0167,-21.54,1.64,0.7,0.475,0.5,0.0375,0.275,0.461875,44.31,24
149322,DSP Top 100 Equity Fund - Regular - Growth,18.04,0.464,13.1732,-0.0041,-14.84,1.54,0.5,0.4,0.425,0.2625,0.625,0.436875,40.83,25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.25,0.3006,11.9891,0.0091,-21.12,0.78,0.375,0.35,0.375,0.775,0.3,0.42125,38.66,26
120844,Kotak Liquid Fund - Regular - Growth,6.7,-0.0887,6.4557,-0.0004,-0.12,0.6,0.275,0.175,0.225,0.95,0.975,0.41125,37.27,27
